customer_name,zip_count,location_count,zip_codes
Alta Bates Summit Medical Center,2,2,"94705,94704"
Livermore Public Library - City of Livermore,2,2,"94550,94551"
"Goodfellow Top Grade Construction, LLC",2,2,"94551,98807"
Stanford Healthcare-ValleyCare,2,2,"94550,94568"
Commercial Bldg,2,2,"94709,94704"
Jacobsen Construction,2,2,"94602,84119"
111 Broadway Building,2,2,"94623,94623-0961"
KRE 1221 Broadway Owner LLC,2,2,"94612,94104"
East County Hall of Justice,2,2,"94568,94550"
Sherman-Williams 8666,2,2,"94539,95126"
Service King Collision Repair Centers ,2,2,"94538,95050"
New Corpo,2,2,"93028,94070"
Sutter West Bay Hospitals,2,2,"94120,95661"
Mills-Peninsula Medical Center - Sutter Health,2,2,"94010,94401"
Solstice Senior Living,2,2,"95403,95602"
DePaul Health Center,2,2,"95037,95128"
JLL,2,2,"94111,94025"
Taj Mahal Fresh Market,2,2,"94085,95051"
Venus Concept,2,2,"95134,95112"
Rothys ,2,2,"94115,94133"
Golden Gate National Cemetery,2,2,"94129,94066"
Sports Basement,2,2,"95407,94129"
DPR Construction - Sacramento,2,2,"95833,95811"
County of Nevada Schools District,2,2,"95945,95959"
"TrueSource, LLC",2,2,"11749,78232"
Midstate Construction ,2,2,"94954,94110"
Hobart Building,2,2,"94104,94401"
Shorenstein Realty Services,2,2,"93118,95002"
La Hacienda Market,2,2,"94401,94080"
The Stratford,2,2,"94401,97208"
Skylawn Memorial Park,2,2,"94402,94062"
Tesla,2,2,"94402,93955"
Xfinity Store by Comcast,2,2,"94558,94533"
Yuba City Unified School District,2,2,"95991,95993"
Stanford Health Care - Winchester,2,2,"95032,95128"
Chap Properties,2,2,"89145,94103"
Community Market,2,2,"95401,95472"
San Francisco Muni Transportation Agency (SFMTA),2,2,"94102,94103"
99 Cents Only Stores,2,2,"95376,93906"
CareMore Care Center,2,2,"95127,95020"
Cornerstone Earth Group ,2,2,"94085,94043"
Proactis,2,2,"23606,23612"
SC Builders Inc.,2,2,"94085,94103"
Natural Wonder Beauty Concept,2,2,"95070,94121"
Skyline Construction,2,2,"95051,94111"
Apple ME03,2,2,"95051,95015"
McCarthy Building Companies,2,2,"95054,95661"
Gish Apartments,2,2,"95112,95066"
Regional Medical Center of San Jose,2,2,"95156,95116"
ZAZZLE INC,2,2,"95131,94063"
Bae systems,2,2,"95112,95035"
Old Navy,2,2,"95123,95401"
AT&T Store,2,2,"95123,94103"
Enovity Inc,2,2,"95113,94104"
Bay Cities Lock & Safe,2,2,"95126,94404"
Edenville,2,2,"95111,95138"
State of California Dept. of Rehabilitation,2,2,"95128,95132"
Target ,2,2,"95124,95401"
Technical Builders,2,2,"95138,95008"
Valero Gas Station,2,2,"95129,94534"
Medical Office Building,2,2,"94102,94118"
One Union Square,2,2,"94111,94108"
Hall of Justice,2,2,"94103,94063"
West Coast Property Management,2,2,"94102,94110"
Moscone Center,2,2,"94103,94105"
SFMOMA,2,2,"94105,94103"
San Francisco housing Authority,2,2,"94103,94127"
Advanced Mission Glass ,2,2,"94102,92335"
Pacific super market,2,2,"94080,94015"
"Instituto Familiar De La Raza ,Inc.",2,2,"94110,94112"
Alexandria Real Estate Equities,2,2,"94080,94158"
Richlen Construction,2,2,"94105,94553"
Studio Becker,2,2,"94103,94105"
Abercrombie & Fitch ,2,2,"94103,94304"
UCSF Mission Bay MOB,2,2,"94158,94107"
Enclos Corp,2,2,"94105,94583"
Grand Martco,2,2,"94112,94063"
SCS Swinerton Builders,2,2,"94107,94520"
O’Reilly Auto Parts ,2,2,"94116,94015"
Non Plus Ultra inc,2,2,"94103,94123"
Warman Security,2,2,"94109,94002"
Plant Construction,2,2,"94107,95014"
